vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,previous_action_2,action
1.0,0.0,2.0,34.93909999999994,0.0,19.419449999999983,-3.882165999999998,0.0,-4.031683000000001,3.0,1.0,1.0
1.0,0.0,2.0,30.69906000000003,0.0,15.061400000000049,-4.479202000000001,0.0,-4.562138000000001,1.0,3.0,4.0
1.0,0.0,2.0,28.15856000000008,0.0,12.46690000000001,-1.2861040000000017,0.0,-1.3080749999999988,4.0,1.0,1.0
1.0,0.0,2.0,27.195069999999987,0.0,11.507769999999937,-0.7584579999999974,0.0,-0.7250799999999984,1.0,4.0,1.0
1.0,0.0,2.0,26.484649999999988,0.0,10.854399999999941,-0.6829740000000015,0.0,-0.5997810000000001,1.0,1.0,3.0
1.0,0.0,2.0,23.794129999999996,0.0,8.268249999999966,-3.997919999999997,0.0,-3.870296999999997,3.0,1.0,4.0
1.0,0.0,3.0,21.459159999999997,0.0,6.07964000000004,-1.2561619999999998,0.0,-1.0892830000000018,4.0,3.0,1.0
1.0,0.0,3.0,20.484500000000025,0.0,5.288350000000037,-0.7927859999999995,0.0,-0.5915719999999993,1.0,4.0,1.0
1.0,0.0,3.0,19.738560000000007,0.0,4.757810000000063,-0.7158850000000001,0.0,-0.484969999999997,1.0,1.0,1.0
1.0,0.0,3.0,19.03060000000005,0.0,4.292899999999918,-0.7023539999999997,0.0,-0.44605800000000073,1.0,1.0,1.0
1.0,0.0,3.0,18.330700000000206,0.0,3.8597000000002026,-0.6971910000000001,0.0,-0.4195150000000005,1.0,1.0,1.0
1.0,0.0,3.0,17.636199999999917,0.0,3.4513999999999214,-0.6912120000000002,0.0,-0.3958300000000001,1.0,1.0,1.0
1.0,0.0,3.0,16.948599999999942,0.0,3.066100000000006,-0.6830669999999976,0.0,-0.3733329999999988,1.0,1.0,1.0
1.0,0.0,3.0,16.270099999999957,0.0,2.7029999999999745,-0.672744999999999,0.0,-0.3516959999999969,1.0,1.0,1.0
1.0,0.0,3.0,15.603000000000065,0.0,2.361099999999851,-0.6604460000000003,0.0,-0.3308220000000013,1.0,1.0,1.0
1.0,0.0,3.0,14.94900000000007,0.0,2.039600000000064,-0.6464059999999989,0.0,-0.31065399999999954,1.0,1.0,4.0
1.0,0.0,3.0,16.319799999999987,0.0,3.748199999999997,2.6856019999999994,0.0,3.025292999999998,4.0,1.0,1.0
1.0,0.0,3.0,19.356700000000046,0.0,7.125999999999976,3.269216,0.0,3.6109100000000005,1.0,4.0,3.0
1.0,0.0,3.0,20.682800000000043,0.0,8.794000000000096,0.06760699999999886,0.0,0.40959700000000154,3.0,1.0,1.0
1.0,0.0,3.0,20.42579999999998,0.0,8.878500000000031,-0.4636570000000013,0.0,-0.12286700000000295,1.0,3.0,1.0
1.0,0.0,3.0,19.914299999999912,0.0,8.70679999999993,-0.5379690000000004,0.0,-0.19969000000000037,1.0,1.0,1.0
1.0,0.0,3.0,19.375999999999976,0.0,8.505200000000059,-0.5336950000000016,0.0,-0.19905899999999832,1.0,1.0,1.0
2.0,2.0,2.0,62.00096000000002,20.309950000000015,10.338639999999998,-3.6819570000000006,-3.7999459999999985,-3.1526889999999987,1.0,1.0,1.0
1.0,2.0,2.0,56.691040000000015,27.16744,5.850069999999988,-7.068389,-3.5037920000000007,-5.488308999999997,1.0,1.0,3.0
1.0,2.0,2.0,47.343920000000026,20.83744999999999,2.1351300000000037,-10.853729999999999,-8.655954999999999,-9.74998,3.0,1.0,4.0
1.0,2.0,2.0,37.731899999999996,12.956920000000025,10.483079999999973,-8.887669,-7.643522000000001,-7.511972,4.0,3.0,4.0
1.0,2.0,2.0,30.976130000000012,7.154870000000017,15.850340000000017,-5.389780999999999,-4.706462999999999,-4.025185999999998,4.0,4.0,4.0
1.0,2.0,2.0,27.958649999999977,4.669820000000016,17.58260999999999,-1.4595340000000014,-1.060258000000001,-0.2926060000000028,4.0,4.0,1.0
2.0,2.0,2.0,26.94168000000002,3.9936800000000403,17.57421999999997,-0.7039740000000005,-0.40203799999999923,0.14396400000000042,1.0,4.0,1.0
2.0,2.0,2.0,26.35187000000002,3.714170000000024,17.489259999999945,-0.4985499999999998,-0.1577119999999983,-0.02637699999999832,1.0,1.0,3.0
2.0,2.0,2.0,23.87903,1.641969999999958,17.83843999999999,-3.7572069999999993,-3.2709619999999973,-4.533311999999999,3.0,1.0,1.0
2.0,3.0,2.0,19.76537000000002,1.882029999999986,12.715719999999976,-4.370381,-3.6469039999999993,-5.599692000000001,1.0,3.0,4.0
1.0,3.0,3.0,17.28325000000001,3.496600000000001,8.897449999999992,-1.3059719999999988,-0.2585509999999971,-2.7132349999999974,4.0,1.0,1.0
1.0,3.0,3.0,16.19548999999995,3.353240000000028,6.4293799999999806,-1.0222490000000022,0.4333919999999978,-2.3222190000000023,1.0,4.0,1.0
1.0,3.0,3.0,15.065679999999986,2.806820000000016,4.151419999999973,-1.2976574999999997,0.6432499999999983,-2.2299229999999994,1.0,1.0,4.0
1.0,3.0,3.0,15.583219999999983,0.09827000000001362,3.9904999999999973,1.5848110000000002,4.069633000000001,1.2270990000000008,4.0,1.0,3.0
1.0,3.0,3.0,15.274499999999989,2.343399999999974,3.6466399999999908,-1.6556490000000004,1.3991330000000008,-1.3058500000000013,3.0,4.0,1.0
