vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,action
4.0,0.0,0.0,84.70648193359375,10000.0,10000.0,6.594661712646484,10000.0,10000.0,3.0,0.0
4.0,0.0,0.0,77.768310546875,10000.0,10000.0,7.161415100097656,10000.0,10000.0,0.0,1.0
4.0,0.0,0.0,70.5482177734375,10000.0,10000.0,7.258266448974609,10000.0,10000.0,1.0,3.0
4.0,0.0,0.0,61.269775390625,10000.0,10000.0,10.591264724731445,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,52.34344482421875,10000.0,10000.0,7.844387054443356,10000.0,10000.0,4.0,0.0
3.0,0.0,1.0,25.27545356750488,10000.0,29.420793533325195,10.67233395576477,10000.0,20.611087799072266,0.0,3.0
4.0,0.0,0.0,8.029376983642578,10000.0,10000.0,24.931838989257812,10000.0,10000.0,3.0,0.0
3.0,0.0,1.0,6.994470596313477,10000.0,17.870655059814453,16.936185836791992,10000.0,24.98954963684082,0.0,3.0
3.0,0.0,1.0,17.81334400177002,10000.0,2.4621782302856445,11.35223960876465,10000.0,6.369461536407471,3.0,4.0
3.0,0.0,1.0,3.0095684528350826,10000.0,5.43311619758606,-2.8704967498779297,10000.0,12.267654418945314,4.0,3.0
3.0,0.0,1.0,7.98153829574585,10000.0,0.8238000869750977,12.829006075859068,10000.0,-0.8959770202636719,3.0,1.0
3.0,0.0,1.0,25.6355037689209,10000.0,28.406190872192383,12.77007532119751,10000.0,17.802786827087402,1.0,3.0
3.0,0.0,1.0,11.92418098449707,10000.0,19.80222988128662,15.435173988342285,10000.0,0.3304262161254883,3.0,4.0
3.0,0.0,1.0,25.10945320129395,10000.0,29.816635131835938,9.762142896652222,10000.0,20.83741855621338,4.0,0.0
3.0,0.0,1.0,13.586200714111328,10000.0,22.39503574371338,12.430017948150635,10000.0,-2.193828582763672,0.0,0.0
3.0,0.0,1.0,8.24150657653809,10000.0,11.268766403198246,1.4921021461486816,10000.0,18.973817348480225,0.0,4.0
2.0,0.0,2.0,22.260090112686157,10000.0,8.268701553344727,3.0882781744003296,10000.0,19.029062271118164,4.0,3.0
2.0,0.0,2.0,22.70531463623047,10000.0,18.707438707351685,4.450103282928469,10000.0,4.451927957241423,3.0,1.0
2.0,0.0,2.0,34.77627468109131,10000.0,13.353147625923157,-4.8373188972473145,10000.0,5.800181856437121,1.0,2.0
3.0,0.0,1.0,13.216493129730225,10000.0,6.467329025268555,2.767673969268799,10000.0,7.1984041975592845,2.0,3.0
1.0,3.0,0.0,3.3513035774230957,15.384744882583618,10000.0,11.307817790449008,0.029992103576660156,10000.0,3.0,3.0
3.0,0.0,1.0,13.275218963623047,10000.0,16.060569167137146,0.01650047302245916,10000.0,13.013588711376315,3.0,4.0
3.0,0.0,1.0,24.97126567363739,10000.0,19.346044540405273,8.243162369687582,10000.0,-7.125095367431641,4.0,3.0
4.0,0.0,0.0,21.387367248535156,10000.0,10000.0,0.43030738830566406,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,21.979934692382812,10000.0,10000.0,-1.5192327499389666,10000.0,10000.0,4.0,4.0
4.0,0.0,0.0,25.76630401611328,10000.0,10000.0,-5.272168159484863,10000.0,10000.0,4.0,4.0
