0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,action
1.0,452.05154,8.60012,24.038181,-1.673775,1.0,450.5581,4.0,12.926841,0.0,1.0,456.35516,12.0,17.352343,0.0,1.0,437.09363,8.0,13.851298,0.0,1.0,432.04233,0.0,16.025393,0.0,1.0,474.17264,0.0,14.652573,0.0,1.0,478.9211,8.0,17.543753,0.0,1.0,480.99088,4.0,10.785766,0.0,1.0,408.8101,4.0,16.321636,0.0,1.0,501.01404,12.0,17.701538,0.0,4
1.0,474.08032,8.058991,20.699352,-0.16659507,1.0,473.76273,12.0,17.474997,0.0,1.0,463.10028,4.0,12.128237,0.0,1.0,488.5374,0.0,14.047129,0.0,1.0,491.6411,4.0,10.569717,0.0,1.0,496.5963,8.0,17.81451,0.0,1.0,451.0718,8.0,14.12922,0.0,1.0,447.89316,0.0,15.641127,0.0,1.0,517.6814,4.0,10.986619,0.0,1.0,518.8538,12.0,17.989452,0.0,1
1.0,494.42847,8.00596,20.11962,-0.0171883,1.0,491.30212,12.0,17.614986,0.0,1.0,502.25967,4.0,10.734327,0.0,1.0,502.33,0.0,13.517064,0.0,1.0,474.92853,4.0,11.529624,0.0,1.0,514.51575,8.0,18.030931,0.0,1.0,465.44562,8.0,14.708664,0.0,1.0,463.3353,0.0,15.207605,0.0,1.0,529.11127,4.0,11.934371,0.0,1.0,535.14716,0.0,12.145167,0.0,1
1.0,514.488,8.0006,20.020443,-0.0017399422,1.0,515.6358,0.0,13.082917,0.0,1.0,513.1844,4.0,11.183298,0.0,1.0,508.9852,12.0,17.76125,0.0,1.0,532.6311,8.0,18.205198,0.0,1.0,541.4749,4.0,12.842485,0.0,1.0,486.2831,4.0,11.206892,0.0,1.0,547.27795,0.0,12.12856,0.0,1.0,480.50085,8.0,15.460037,0.0,1.0,478.3285,0.0,14.745144,0.0,3
1.0,536.5083,8.00005,23.31994,-0.00015971497,1.0,528.5579,0.0,12.758799,0.0,1.0,526.8145,12.0,17.906445,0.0,1.0,524.6496,4.0,11.809861,0.0,1.0,550.90485,8.0,18.347046,0.0,1.0,554.70966,4.0,13.664639,0.0,1.0,559.42926,0.0,12.191298,0.0,1.0,573.8148,12.0,18.613127,0.0,1.0,497.4521,4.0,11.175689,0.0,1.0,496.4442,8.0,16.577072,0.0,4
1.0,558.15985,8.000005,20.567339,-1.2701283e-05,1.0,568.7146,4.0,14.371998,0.0,1.0,569.3082,8.0,18.463953,0.0,1.0,544.78674,12.0,18.04612,0.0,1.0,571.6796,0.0,12.331344,0.0,1.0,541.21027,0.0,12.551553,0.0,1.0,536.78656,4.0,12.517651,0.0,1.0,592.4992,12.0,18.7618,0.0,1.0,601.7854,0.0,12.86664,0.0,1.0,513.46136,8.0,17.391645,0.0,2
1.0,578.12524,11.378437,20.026894,1.6766076,1.0,583.3686,4.0,14.953795,0.0,1.0,584.1042,0.0,12.543078,0.0,1.0,587.81915,8.0,18.561544,0.0,1.0,561.4447,12.0,14.318625,0.0,1.0,553.70996,0.0,12.46069,0.0,1.0,549.6389,4.0,13.230263,0.0,1.0,611.3222,12.0,18.889582,0.0,1.0,614.8163,0.0,13.226702,0.0,1.0,621.1615,4.0,15.96361,0.0,1
1.0,598.16284,11.935236,20.015697,0.18662895,1.0,598.5469,4.0,15.414305,0.0,1.0,596.77026,0.0,12.816361,0.0,1.0,606.4203,8.0,18.644012,0.0,1.0,575.2944,12.0,13.770059,0.0,1.0,628.22546,0.0,13.62224,0.0,1.0,566.1706,0.0,12.479001,0.0,1.0,630.2648,12.0,19.000307,0.0,1.0,563.1847,4.0,13.894255,0.0,1.0,637.2388,4.0,16.193409,0.0,3
1.0,620.1811,11.994652,23.319271,0.017302066,1.0,625.0981,8.0,18.714483,0.0,1.0,614.1342,4.0,15.767719,0.0,1.0,609.73303,0.0,13.13712,0.0,1.0,642.0388,0.0,14.03253,0.0,1.0,649.3113,12.0,19.097012,0.0,1.0,589.5522,12.0,15.016204,0.0,1.0,653.5131,4.0,16.356916,0.0,1.0,578.69574,0.0,12.593744,0.0,1.0,577.3589,4.0,14.478289,0.0,4
1.0,641.83234,11.999523,20.567226,0.0013786677,1.0,643.8417,8.0,18.775309,0.0,1.0,630.03217,4.0,16.032913,0.0,1.0,656.26196,0.0,14.438857,0.0,1.0,623.0325,0.0,13.488983,0.0,1.0,668.44885,12.0,19.18207,0.0,1.0,669.928,4.0,16.474459,0.0,1.0,605.17334,12.0,16.177008,0.0,1.0,690.8329,0.0,15.347839,0.0,1.0,691.33887,8.0,19.052036,0.0,4
